vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
10 - Fabian Retamosa;410-Avanti-Tapas;20500-EMPANADA X12 AVANTI- 28X CAJA;190;0;14;14;176;7.37;1719
10 - Fabian Retamosa;410-Avanti-Tapas;20501-EMPANADA X20 AVANTI- 20X CAJA;93;0;15;15;78;16.13;2622
10 - Fabian Retamosa;410-Avanti-Tapas;20506-MASA BRISSA AVANTI- 20X CAJA;2;2;2;4;-2;200;340
10 - Fabian Retamosa;410-Avanti-Tapas;20511-RECTANGULAR CASERA AVANTI- 20X CAJA;22;3;2;5;17;22.73;830
10 - Fabian Retamosa;410-Avanti-Tapas;20510-RECTANGULAR HOJ  AVANTI- 20X CAJAS;265;1;6;7;258;2.64;1138
10 - Fabian Retamosa;410-Avanti-Tapas;20509-REDONDA CASERA AVANTI- 20X CAJA;23;0;1;1;22;4.35;114
10 - Fabian Retamosa;410-Avanti-Tapas;20508-REDONDA HOJ AVANTI- 20X CAJA;184;1;20;21;163;11.41;2430
10 - Fabian Retamosa;411-Avanti-Pastas;20564-RAVIOL RICOTTA 500G- AV 12X CAJA;8;0;6;6;2;75;1371
10 - Fabian Retamosa;411-Avanti-Pastas;20561-RAVIOLES JAM Y QUE 500G - AV- 12XCAJA;11;0;3;3;8;27.27;681
10 - Fabian Retamosa;411-Avanti-Pastas;20549-RAVIOLES VERDURA -AV 500G- 12X CAJA;27;0;5;5;22;18.52;1147
10 - Fabian Retamosa;411-Avanti-Pastas;20562-RAVIOLONES CALABAZA AV 330g (12);3;0;2;2;1;66.67;414
10 - Fabian Retamosa;411-Avanti-Pastas;20570-RAVIOLONES HONGOS AV 330g (12);4;0;3;3;1;75;615
10 - Fabian Retamosa;411-Avanti-Pastas;20553-SORRENTINOS 4QUESOS-AV 500G- 12X CAJA;17;0;10;10;7;58.82;2531
10 - Fabian Retamosa;411-Avanti-Pastas;20550-SORRENTINOS J Y Q- AV 500G- 12X CAJA;24;0;4;4;20;16.67;1030
10 - Fabian Retamosa;411-Avanti-Pastas;20547-SORRENTINOS RI Y ES- AV 500G- 12X CAJA;16;0;6;6;10;37.5;1523
10 - Fabian Retamosa;411-Avanti-Pastas;20551-TALLARINES FINOS- AV 500G- 12X CAJA;47;0;2;2;45;4.26;237
10 - Fabian Retamosa;412-Pastamania-Tapas;20515-EMPANADA X12 PASTAMANÍA- 36X CAJA;211;2;9;11;200;5.21;1005
10 - Fabian Retamosa;412-Pastamania-Tapas;20518-EMPANADA X20 PASTAMANÍA- 24X CAJA;119;0;8;8;111;6.72;1096
10 - Fabian Retamosa;412-Pastamania-Tapas;20520-RECTANGULAR PASTAMANÍA- 20X CAJA;171;4;21;25;146;14.62;3404
10 - Fabian Retamosa;412-Pastamania-Tapas;20519-REDONDA PASTAMANÍA- 20X CAJA;172;1;13;14;158;8.14;1285
10 - Fabian Retamosa;413-Pastamania-Pastas;20559-RAVIOL 4 QUESOS 500G PASTAMANIA- 12X CAJA;0;0;1;1;-1;100;150
10 - Fabian Retamosa;413-Pastamania-Pastas;20554-RAVIOL RIC Y ESP-500G PASTAMANIA- 12X CAJA;0;0;1;1;-1;100;150
10 - Fabian Retamosa;440-OFERTAS;25040-OFERTA HAMB. EXTRA GRANDE PREMIUM CAMPOSUR (30);10;7;0;7;3;70;420
10 - Fabian Retamosa;440-OFERTAS;OFL105-OFERTA MEMBRILLO LIMAY 4K;155;1;0;1;154;0.65;250
10 - Fabian Retamosa;440-OFERTAS;271214-OFERTA SUPER TRIPLE BLANCO ALFAJOR;20;0;0.5;0.5;19.5;2.5;168
