vendedor;linea;articulo;venta_bruta;dev_Buen_Estado;dev_Mal_Estado;dev_total;venta_neta;porc_dev;tot_dev_$
1 - Jorge;100-Centenario;8703-CHORIZO PURO CERDO CENTENARIO X3UNI (KG);51.3;2.3;3.6;5.9;45.4;11.5;2144.41
1 - Jorge;100-Centenario;0003-DE LA PLANTA HUMMUS AJO Y LIMON 175G;3;3;0;3;0;100;418.95
1 - Jorge;100-Centenario;8033-JAMON COCIDO ET. NEGRA CENTENARIO;77.95;0;1;1;76.95;1.28;404.45
1 - Jorge;100-Centenario;8055-JAMON ET.DORADA MAGRO CENTENARIO;151.5;0;2.08;2.08;149.42;1.37;946.4
1 - Jorge;100-Centenario;9672-JUGO DE NARANJA FRUTELLO 1LT;24;1;5;6;18;25;487.9
1 - Jorge;100-Centenario;8002-LEONESA C/ JAMON CENTENARIO;60.11;0;2.2;2.2;57.91;3.66;650.83
1 - Jorge;100-Centenario;8047-LOMITO CANADIENSE CENTENARIO;17.5;0;1.3;1.3;16.2;7.43;837.2
1 - Jorge;100-Centenario;9532-LONGANIZA AHUMADA CENTENARIO (KG);27.05;0;1;1;26.05;3.7;124.34
1 - Jorge;100-Centenario;8661-MORCILLA CENT. X2 SALADA (UNIDAD);6;0;1.48;1.48;4.52;24.67;162.86
1 - Jorge;100-Centenario;8021-PANCETA BACON CENTENARIO;199.05;0;4.4;4.4;194.65;2.21;1743
1 - Jorge;100-Centenario;9511-PANCHO EXTRA PACK 8+4 U CENTENARIO;326;3;26;29;297;8.9;4648.04
1 - Jorge;100-Centenario;9643-PARRILLERO PROVOLONE CENTENARIO;16.15;0;0.8;0.8;15.35;4.95;391.36
1 - Jorge;100-Centenario;8030-PATE CENTENARIO 2 X 1;447;5;38;43;404;9.62;4818.61
1 - Jorge;100-Centenario;8025-PIPA CENTENARIO AL VACIO (x KG));33.9;3;0;3;30.9;8.85;2289
