vendedor,linea,articulo,venta_bruta,dev_Buen_Estado,dev_Mal_Estado,dev_total,venta_neta,porc_dev,tot_dev_$
50 - Depósito,604-Culinex,700377605-CHAUCHA 2.5kg HUERTA DEL ESTE,41.0,4.0,0.0,4.0,37.0,9.76,1477.0
50 - Depósito,604-Culinex,700367620-ESPINACA PICADA 2.5 kg BATUK,61.0,7.0,0.0,7.0,54.0,11.48,2194.5
50 - Depósito,604-Culinex,700377620-ESPINACA PICADA 2.5kg HUERTA DEL ESTE,85.0,4.0,0.0,4.0,81.0,4.71,1280.4
50 - Depósito,604-Culinex,700367614-MAIZ 2.5 BATUK,35.0,6.0,0.0,6.0,29.0,17.14,2811.6
50 - Depósito,604-Culinex,700377614-MAIZ 2.5kg HUERTA DEL ESTE,13.0,2.0,0.0,2.0,11.0,15.38,1159.4
50 - Depósito,604-Culinex,700377615-MORRON ROJO 2.5kg HUERTA DEL ESTE,16.0,12.0,0.0,12.0,4.0,75.0,7880.4
50 - Depósito,604-Culinex,710201702-NOISETTE 1 KG CRUFI,17.0,1.0,0.0,1.0,16.0,5.88,198.0
50 - Depósito,604-Culinex,710570712-PAPA BEMBRASIL 2KG TRADICIONAL (7),164.0,17.0,0.0,17.0,147.0,10.37,3318.02
50 - Depósito,604-Culinex,710567712-PAPA TRADICIONAL BATUK 2kg (7),2471.0,161.0,0.0,161.0,2310.0,6.52,28496.61
50 - Depósito,604-Culinex,700377612-RUSA 2.5kg HUERTA DEL ESTE,15.0,2.0,0.0,2.0,13.0,13.33,700.0
50 - Depósito,604-Culinex,700377617-ZANAHORIA EN CUBO 2.5 HUERTA DEL ESTE,343.0,44.0,0.0,44.0,299.0,12.83,12777.57
50 - Depósito,609-REBOZADOS DE POLLO CRUFI,9515-NUGGET POLLO 2.5KG SEARA,228.0,33.0,0.0,33.0,195.0,14.47,19927.86
50 - Depósito,629-Papel Higienico,30513-SORELLA TOALLA X 600 X 3 ROLLOS F4,17.0,1.0,0.0,1.0,16.0,5.88,165.0
50 - Depósito,651-Insecticida,61100-OFF AEROSOL NARANJA 170CC,20.0,1.0,0.0,1.0,19.0,5.0,285.0
50 - Depósito,651-Insecticida,61107-RAID AEROSOL MOSCAS Y MOSQ. S/OLOR,24.0,1.0,0.0,1.0,23.0,4.17,263.0
50 - Depósito,663-Aderezos Del Gaucho,24759-KETCHUP DEL GAUCHO x200g DP,6.0,3.0,0.0,3.0,3.0,50.0,105.0
50 - Depósito,663-Aderezos Del Gaucho,24738-PICANTINA DEL GAUCHO x1kg DP,3.0,1.0,0.0,1.0,2.0,33.33,92.0
50 - Depósito,665-Conservas Del Gaucho Gastronómico,24708-ACEITUNA EN RODAJAS DEL GAUCHO x1kg DP,36.0,1.0,0.0,1.0,35.0,2.78,249.0
50 - Depósito,700-PROMOL,30542-DUKITA PURE DE PAPAS 120g,32.0,5.0,0.0,5.0,27.0,15.63,153.0
50 - Depósito,800-FRESH UP,440822-CARE UP SH ARGAN S/SAL 750ML (8),12.0,1.0,0.0,1.0,11.0,8.33,180.0
50 - Depósito,800-FRESH UP,440501-CARE UP TOALLA FEMENINA DIA X8 (36),7.0,5.0,0.0,5.0,2.0,71.43,215.0
50 - Depósito,800-FRESH UP,440600-CARE UP TOALLA HUMEDA BABY X150,10.0,1.0,0.0,1.0,9.0,10.0,217.0
50 - Depósito,800-FRESH UP,440511-CARE UP TOALLA NOCTURNA X16 (40),5.0,5.0,0.0,5.0,0.0,100.0,710.0
50 - Depósito,800-FRESH UP,440402-FRESH UP FRESCURA MAXIMA 90g,102.0,6.0,0.0,6.0,96.0,5.88,172.8
50 - Depósito,999-Sin calificar,2036-DTOS. OTORGADOS,3.63,547.15,0.0,547.15,-543.52,15073.0,1240714.54
50 - Depósito,1012-Aceites Garzon,30136-ACEITE OLIVA VIRGEN TRIV. 500ML,19.0,1.0,0.0,1.0,18.0,5.26,441.0
50 - Depósito,1014-Dairyco x5lt,24080-DAIRYCO NARANJA LIGHT 5L X4,13.0,1.0,0.0,1.0,12.0,7.69,441.0
